Det,Nombre,Region,Estado,Ciudad,Municipio,Proto,Long,Lat,Con servicio?
1585,La Isla,Noroeste,Sinaloa,Culiacán Rosales,Culiacán,SPCT-112,"-107,369,267","24,824,728",No
4090,Los Atrios,Centro,Morelos,ZM de Cuautla,Cuautla,SPCT-127,"-98,950,247","18,869,703",No
1044,San Marcos Izcalli,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,"-99,204,704","19,671,394",No
1834,Plaza Del Lago,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,"-99,223,369","19,638,361",No
1623,Cuauhtemoc,Norte,Chihuahua,Cuauhtémoc,Cuauhtémoc,SPCT-90,"-106,838,229","28,401,958",No
2430,Copilco,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-112,"-99,184,163","19,338,250",No
2946,Pueblito,Bajio,Queretaro,ZM de Querétaro,Corregidora,SPCT-90,"-100,434,362","20,538,672",No
1624,Comitan,Suroeste,Chiapas,Comitán de Domínguez,Comitán de Domínguez,SPCT-112,"-92,113,754","16,217,291",No
3879,Colima,Occidente,Colima,ZM de Colima-Villa de Álvarez,Colima,SPCT-112,"-103,715,657","19,238,524",No
4024,Coatzacoalcos,Sureste,Veracruz,ZM de Coatzacoalcos,Coatzacoalcos,SPCT-112,"-94,471,722","18,139,977",No
3900,Coacalco,Centro,Mexico,ZM del Valle de México,Coacalco de Berriozábal,SPCT-112,"-99,097,339","19,636,524",No
4025,Cd Madero,Noreste,Tamaulipas,ZM de Tampico,Ciudad Madero,SPCT-112,"-97,853,000","22,253,000",No
3608,Playa Miramar,Noreste,Tamaulipas,ZM de Tampico,Ciudad Madero,SPCT-90,"-97,842,141","22,277,500",No
1684,Chilpancingo,Suroeste,Guerrero,Chilpancingo de los Bravo,Chilpancingo de los Bravo,SPCT-112,"-99,489,727","17,525,690",No
2302,Chihuahua,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-127,"-106,119,448","28,634,379",No
5728,Norte 2000,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-127,"-106,129,925","28,727,456",No
3033,Fuentes Mares,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-90,"-106,028,991","28,619,029",No
3358,Cordilleras,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-112,"-106,139,165","28,697,890",No
1683,Vicente Guerrero,Centro,Mexico,ZM del Valle de México,Chalco,SPCT-127,"-98,877,900","19,261,400",No
3894,Villahermosa I,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,924,802","18,001,408",No
2468,Villahermosa Ii,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,940,323","17,979,231",No
1031,Tabasco 2000,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,"-92,969,055","17,989,264",No
2091,El Sauz Celaya,Bajio,Guanajuato,ZM de Celaya,Celaya,SPCT-127,"-100,838,554","20,548,325",No
1685,Aeropuerto Cd D Carmen,Sureste,Campeche,Ciudad del Carmen,Carmen,SPCT-112,"-91,801,969","18,646,369",No
3605,Combo Electricistas,Sureste,Campeche,San Francisco de Campeche,Campeche,SC-90,"-90,544,677","19,824,160",No
2646,Carr Inter Obregon,Noroeste,Sonora,Ciudad Obregón,Cajeme,SPCT-112,"-109,926,959","27,481,438",No
3632,Cancun Comancalco,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,"-86,860,466","21,148,529",No
1084,Nichupte,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,"-86,852,018","21,139,791",No
5855,Las Alamedas,Centro,Mexico,ZM del Valle de México,Atizapán de Zaragoza,SPCT-112,"-99,244,106","19,554,627",No
2731,El Molinito Tlaxcala,Centro,Tlaxcala,ZM de Tlaxcala-Apizaco,Apetatitlán de Antonio Carvajal,SPCT-112,"-98,200,198","19,340,290",No
1204,Mochis Sur,Noroeste,Sinaloa,Los Mochis,Ahome,SPCT-112,"-109,002,431","25,785,758",No
1549,Av De Los Maestros,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-112,"-102,315,000","21,858,600",No
2271,Aguascalientes Oriente,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-112,"-102,257,988","21,882,268",No
2734,Plaza Ana,Occidente,Michoacan,ZM de Zamora-Jacona,Zamora,SPCT-90,"-102,295,190","19,975,097",Sí
3630,Las Adelitas,Noreste,Tamaulipas,Ciudad Victoria,Victoria,SPCT-112,"-99,156,511","23,752,347",Sí
5702,Santin,Centro,Mexico,ZM de Toluca,Toluca,SPCT-127,"-99,590,790","19,351,100",Sí
5469,Rio De Los Remedios,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,"-99,116,881","19,519,076",Sí
3895,Tepic,Occidente,Nayarit,ZM de Tepic,Tepic,SPCT-112,"-104,881,686","21,491,529",Sí
2648,Plaza El Paseo,Centro,Puebla,ZM de Tehuacán,Tehuacán,SPCT-112,"-97,415,364","18,467,912",Sí
1003,Playa Del Carmen,Sureste,Quintana Roo,Playa del Carmen,Solidaridad,SPCT-112,"-87,076,171","20,629,277",Sí
1804,Macro Plaza Oaxaca,Suroeste,Oaxaca,ZM de Oaxaca,Santa Lucía del Camino,SPCT-112,"-96,694,840","17,066,971",Sí
2074,Carretera 57,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-127,"-100,934,649","22,138,534",Sí
3945,Av Central,Bajio,Queretaro,San Juan del Río,San Juan del Río,SPCT-90,"-99,982,411","20,398,643",Sí
2374,Jardines Del Country,Bajio,Guanajuato,Salamanca,Salamanca,SC-90,"-101,223,937","20,583,465",Sí
4187,Rosarito,Noroeste,Baja California,ZM de Tijuana,Playas de Rosarito,SPCT-112,"-117,058,919","32,378,427",Sí
3241,Plaza Del Valle,Sureste,Veracruz,ZM de Orizaba,Orizaba,SPCT-112,"-97,094,811","18,862,674",Sí
2079,Cd Jardin,Centro,Mexico,ZM del Valle de México,Nezahualcóyotl,SPCT-127,"-99,028,924","19,425,299",Sí
2381,Morelia,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-127,"-101,220,271","19,679,574",Sí
1108,Altozano,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-112,"-101,164,118","19,669,277",Sí
3718,Ejercito Mexicano,Noroeste,Sinaloa,Mazatlán,Mazatlán,SPCT-112,"-106,423,796","23,244,407",Sí
2433,Leon Torres Landa,Bajio,Guanajuato,ZM de Leon,León,SPCT-127,"-101,660,000","21,098,300",Sí
3356,Lazaro Cardenas,Occidente,Michoacan,Ciudad Lázaro Cárdenas,Lázaro Cárdenas,SPCT-112,"-102,212,659","17,978,257",Sí
1107,Ixtapaluca,Centro,Mexico,ZM del Valle de México,Ixtapaluca,SPCT-127,"-98,885,900","19,299,200",Sí
3030,Blvd Morelos,Noroeste,Sonora,Hermosillo,Hermosillo,SPCT-112,"-110,949,304","29,122,137",Sí
4036,Guaymas,Noroeste,Sonora,ZM de Guaymas,Guaymas,SPCT-112,"-110,926,232","27,935,654",Sí
1027,Sendero,Noreste,Nuevo Leon,ZM de Monterrey,General Escobedo,SPCT-90,"-100,317,288","25,766,057",Sí
3015,Ensenada,Noroeste,Baja California,Ensenada,Ensenada,SPCT-112,"-116,600,413","31,821,381",Sí
1423,Santa Elena,Centro,Mexico,ZM del Valle de México,Cuautitlán,SPCT-127,"-99,148,288","19,677,320",Sí
3031,Celaya Irrigacion,Bajio,Guanajuato,ZM de Celaya,Celaya,SPCT-127,"-100,796,933","20,534,267",Sí
4139,Campeche,Sureste,Campeche,San Francisco de Campeche,Campeche,SPCT-112,"-90,528,900","19,852,400",Sí
4549,Los Mochis,Noroeste,Sinaloa,Los Mochis,Ahome,SPCT-112,"-108,990,640","25,805,814",Sí
2211,Mahatma Gandhi,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SC-90,"-102,296,931","21,859,721",Sí
3872,Balbuena,Centro,Distrito Federal,ZM del Valle de México,Venustiano Carranza,SPCT-112,"-99,105,688","19,417,472",Sí
4619,Tlaxcala Estadio,Centro,Tlaxcala,ZM de Tlaxcala-Apizaco,Tlaxcala,SC-90,"-98,229,989","19,324,699",Sí
4191,Lago De Guadalupe,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,"-99,211,364","19,579,328",Sí
2356,Queretaro,Bajio,Queretaro,ZM de Querétaro,Querétaro,SPCT-127,"-100,397,597","20,615,333",Sí
1007,Harold Pape Monclova,Norte,Coahuila,ZM de Monclova-Frontera,Monclova,SPCT-90,"-101,423,985","26,908,987",Sí
1140,Plaza San Pedro,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-112,"-115,414,111","32,657,590",Sí
4026,Galerias Del Valle,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-112,"-115,506,628","32,621,413",Sí
4062,Manzanillo,Occidente,Colima,Manzanillo,Manzanillo,SPCT-112,"-104,333,666","19,103,518",Sí
2432,Durango,Norte,Durango,Victoria de Durango,Durango,SPCT-127,"-104,653,409","24,036,520",Sí
1403,Chapala Ajijic,Occidente,Jalisco,San Antonio Tlayacapan,Chapala,SPCT-90,"-103,244,472","20,296,640",Sí
1580,El Rosario,Centro,Distrito Federal,ZM del Valle de México,Azcapotzalco,SPCT-127,"-99,204,396","19,502,639",Sí
3878,Niño Obrero,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-112,"-103,410,000","20,666,800",Sí
2342,Vallarta,Occidente,Jalisco,ZM de Guadalajara,Zapopan,SPCT-127,"-103,433,081","20,679,220",Sí
