Det,Nombre,Region,Estado,Ciudad,Municipio,Proto,Long,Lat,Con servicio?
3239,Paseo Real,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,"-100,405,345","25,760,080",Sí
2344,Toreo,Centro,Distrito Federal,ZM del Valle de México,Miguel Hidalgo,SPCT-127,"-99,217,789","19,450,253",Sí
3790,Metepec,Centro,Mexico,ZM de Toluca,Metepec,SPCT-112,"-99,622,794","19,258,370",Sí
3263,Pilares,Centro,Mexico,ZM de Toluca,Metepec,SPCT-112,"-99,591,298","19,285,644",Sí
4048,Pensiones,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,"-89,655,270","20,994,622",Sí
4073,Poligono,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,"-89,575,965","20,997,687",Sí
1016,Merida Norte,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,"-89,604,368","21,038,733",Sí
3069,Cabo San Lucas,Noroeste,Baja California Sur,El Tezal,Los Cabos,SPCT-127,"-109,899,258","22,903,134",Sí
2765,San Jose Del Cabo,Noroeste,Baja California Sur,San José del Cabo,Los Cabos,SPCT-112,"-109,702,278","23,053,869",Sí
1462,Lerma Toluca,Centro,Mexico,ZM de Toluca,Lerma,SPCT-112,"-99,503,465","19,282,699",Sí
1195,Galerias Las Torres,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,"-101,646,523","21,147,067",Sí
1621,La Antorcha,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,"-101,732,763","21,172,075",Sí
2448,Punta Del Este,Bajio,Guanajuato,ZM de Leon,León,SC-90,"-101,607,013","21,131,902",Sí
2377,Cd.Juarez,Norte,Chihuahua,ZM de Juárez,Juárez,SPCT-127,"-106,418,595","31,704,679",Sí
2033,Plaza Oriente,Centro,Distrito Federal,ZM del Valle de México,Iztapalapa,SPCT-127,"-99,080,480","19,384,001",Sí
2347,Tlahuac,Centro,Distrito Federal,ZM del Valle de México,Iztapalapa,SPCT-127,"-99,059,518","19,307,922",Sí
4628,Las Antenas,Centro,Distrito Federal,ZM del Valle de México,Iztapalapa,SC-90,"-99,076,161","19,314,046",Sí
1015,Irapuato,Bajio,Guanajuato,Irapuato,Irapuato,SPCT-112,"-101,366,574","20,683,793",Sí
2382,Interlomas,Centro,Mexico,ZM del Valle de México,Huixquilucan,SPCT-112,"-99,274,107","19,405,671",Sí
3504,Av Jesus Del Monte,Centro,Mexico,ZM del Valle de México,Huixquilucan,SPCT-127,"-99,289,084","19,398,534",Sí
2053,Blvd Colosio,Noroeste,Sonora,Hermosillo,Hermosillo,SPCT-112,"-111,021,716","29,082,631",Sí
3877,Torres Lindavista,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-112,"-99,143,551","19,506,268",Sí
2345,Tepeyac,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-127,"-99,120,707","19,472,103",Sí
4547,Plaza Eduardo Molina,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-127,"-99,095,700","19,479,600",Sí
2076,Miguel Aleman,Noreste,Nuevo Leon,ZM de Monterrey,Guadalupe,SPCT-127,"-100,240,048","25,691,049",Sí
1833,Cerro De La Silla,Noreste,Nuevo Leon,ZM de Monterrey,Guadalupe,SPCT-112,"-100,241,762","25,665,568",Sí
3861,Revolucion,Occidente,Jalisco,ZM de Guadalajara,Guadalajara,SPCT-112,"-103,310,090","20,648,793",Sí
3909,Cordoba,Sureste,Veracruz,ZM de Córdoba,Fortín,SPCT-112,"-96,959,626","18,902,475",Sí
5765,Las Americas,Centro,Mexico,ZM del Valle de México,Ecatepec de Morelos,SPCT-127,"-99,022,137","19,580,031",Sí
1203,Super Plaza Ecatepec,Centro,Mexico,ZM del Valle de México,Ecatepec de Morelos,SPCT-127,"-99,019,212","19,557,934",Sí
2379,Culiacan,Noroeste,Sinaloa,Culiacán Rosales,Culiacán,SPCT-127,"-107,409,212","24,814,763",Sí
1045,Domingo Diez,Centro,Morelos,ZM de Cuernavaca,Cuernavaca,SPCT-112,"-99,237,813","18,956,004",Sí
2446,Averanda,Centro,Morelos,ZM de Cuernavaca,Cuernavaca,SC-70,"-99,197,333","18,933,541",Sí
4157,Periferico Cuautitlan,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,"-99,194,744","19,646,802",Sí
4154,Perinorte,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,"-99,187,627","19,605,325",Sí
2284,Portal Cuautitlan,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-112,"-99,225,021","19,688,806",Sí
3846,Buenavista,Centro,Distrito Federal,ZM del Valle de México,Cuauhtémoc,SPCT-127,"-99,153,082","19,443,515",Sí
1513,Portal Centro,Centro,Distrito Federal,ZM del Valle de México,Cuauhtémoc,SC-144,"-99,130,651","19,419,428",Sí
3858,Cuajimalpa,Centro,Distrito Federal,ZM del Valle de México,Cuajimalpa de Morelos,SPCT-112,"-99,288,704","19,364,323",Sí
3848,Taxqueña,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-127,"-99,182,582","19,345,195",Sí
3863,Periferico Sur,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-112,"-99,187,261","19,306,272",Sí
2464,Miramontes,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-127,"-99,125,500","19,317,789",Sí
