Region,Venta_Promedio,distance_Km
Norte,1339.4928201730183,3.765069397339545
Noroeste,1420.5447601897438,3.463593124290563
Noreste,1409.8091998716104,3.191358920200269
Bajio,1453.0711109691738,3.180343794749875
Occidente,1424.7109708758016,3.1042535732856518
Suroeste,1857.0606423689337,3.087061954925377
Sureste,1490.5931328938532,2.903769630331744
Centro,1527.7304676600736,2.5942774021992254
