,id_tienda,nombre_tienda,region,estado,ciudad,municipio,proto,long,lat,con_serv
105,1683,Vicente Guerrero,Centro,Mexico,ZM del Valle de México,Chalco,SPCT-127,-98.8779,19.2614,No
106,3894,Villahermosa I,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,-92.924802,18.001408,No
107,2468,Villahermosa Ii,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,-92.940323,17.979231,No
108,1031,Tabasco 2000,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,-92.969055,17.989264,No
109,2091,El Sauz Celaya,Bajio,Guanajuato,ZM de Celaya,Celaya,SPCT-127,-100.838554,20.548325,No
110,1685,Aeropuerto Cd D Carmen,Sureste,Campeche,Ciudad del Carmen,Carmen,SPCT-112,-91.801969,18.646369,No
111,3605,Combo Electricistas,Sureste,Campeche,San Francisco de Campeche,Campeche,SC-90,-90.544677,19.82416,No
112,2646,Carr Inter Obregon,Noroeste,Sonora,Ciudad Obregón,Cajeme,SPCT-112,-109.926959,27.481438,No
113,3632,Cancun Comancalco,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,-86.860466,21.148529,No
114,1084,Nichupte,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,-86.852018,21.139791,No
115,5855,Las Alamedas,Centro,Mexico,ZM del Valle de México,Atizapán de Zaragoza,SPCT-112,-99.244106,19.554627,No
116,2731,El Molinito Tlaxcala,Centro,Tlaxcala,ZM de Tlaxcala-Apizaco,Apetatitlán de Antonio Carvajal,SPCT-112,-98.200198,19.34029,No
117,1204,Mochis Sur,Noroeste,Sinaloa,Los Mochis,Ahome,SPCT-112,-109.002431,25.785758,No
118,1549,Av De Los Maestros,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-112,-102.315,21.8586,No
119,2271,Aguascalientes Oriente,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SPCT-112,-102.257988,21.882268,No
120,2734,Plaza Ana,Occidente,Michoacan,ZM de Zamora-Jacona,Zamora,SPCT-90,-102.29519,19.975097,Sí
121,3630,Las Adelitas,Noreste,Tamaulipas,Ciudad Victoria,Victoria,SPCT-112,-99.156511,23.752347,Sí
122,5702,Santin,Centro,Mexico,ZM de Toluca,Toluca,SPCT-127,-99.59079,19.3511,Sí
123,5469,Rio De Los Remedios,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,-99.116881,19.519076,Sí
124,3895,Tepic,Occidente,Nayarit,ZM de Tepic,Tepic,SPCT-112,-104.881686,21.491529,Sí
125,2648,Plaza El Paseo,Centro,Puebla,ZM de Tehuacán,Tehuacán,SPCT-112,-97.415364,18.467912,Sí
126,1003,Playa Del Carmen,Sureste,Quintana Roo,Playa del Carmen,Solidaridad,SPCT-112,-87.076171,20.629277,Sí
127,1804,Macro Plaza Oaxaca,Suroeste,Oaxaca,ZM de Oaxaca,Santa Lucía del Camino,SPCT-112,-96.69484,17.066971,Sí
128,2074,Carretera 57,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-127,-100.934649,22.138534,Sí
129,3945,Av Central,Bajio,Queretaro,San Juan del Río,San Juan del Río,SPCT-90,-99.982411,20.398643,Sí
130,2374,Jardines Del Country,Bajio,Guanajuato,Salamanca,Salamanca,SC-90,-101.223937,20.583465,Sí
131,4187,Rosarito,Noroeste,Baja California,ZM de Tijuana,Playas de Rosarito,SPCT-112,-117.058919,32.378427,Sí
132,3241,Plaza Del Valle,Sureste,Veracruz,ZM de Orizaba,Orizaba,SPCT-112,-97.094811,18.862674,Sí
133,2079,Cd Jardin,Centro,Mexico,ZM del Valle de México,Nezahualcóyotl,SPCT-127,-99.028924,19.425299,Sí
134,2381,Morelia,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-127,-101.220271,19.679574,Sí
135,1108,Altozano,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-112,-101.164118,19.669277,Sí
136,3718,Ejercito Mexicano,Noroeste,Sinaloa,Mazatlán,Mazatlán,SPCT-112,-106.423796,23.244407,Sí
137,2433,Leon Torres Landa,Bajio,Guanajuato,ZM de Leon,León,SPCT-127,-101.66,21.0983,Sí
138,3356,Lazaro Cardenas,Occidente,Michoacan,Ciudad Lázaro Cárdenas,Lázaro Cárdenas,SPCT-112,-102.212659,17.978257,Sí
139,1107,Ixtapaluca,Centro,Mexico,ZM del Valle de México,Ixtapaluca,SPCT-127,-98.8859,19.2992,Sí
140,3030,Blvd Morelos,Noroeste,Sonora,Hermosillo,Hermosillo,SPCT-112,-110.949304,29.122137,Sí
141,4036,Guaymas,Noroeste,Sonora,ZM de Guaymas,Guaymas,SPCT-112,-110.926232,27.935654,Sí
142,1027,Sendero,Noreste,Nuevo Leon,ZM de Monterrey,General Escobedo,SPCT-90,-100.317288,25.766057,Sí
143,3015,Ensenada,Noroeste,Baja California,Ensenada,Ensenada,SPCT-112,-116.600413,31.821381,Sí
144,1423,Santa Elena,Centro,Mexico,ZM del Valle de México,Cuautitlán,SPCT-127,-99.148288,19.67732,Sí
145,3031,Celaya Irrigacion,Bajio,Guanajuato,ZM de Celaya,Celaya,SPCT-127,-100.796933,20.534267,Sí
146,4139,Campeche,Sureste,Campeche,San Francisco de Campeche,Campeche,SPCT-112,-90.5289,19.8524,Sí
147,4549,Los Mochis,Noroeste,Sinaloa,Los Mochis,Ahome,SPCT-112,-108.99064,25.805814,Sí
148,2211,Mahatma Gandhi,Bajio,Aguascalientes,ZM de Aguascalientes,Aguascalientes,SC-90,-102.296931,21.859721,Sí
149,3872,Balbuena,Centro,Distrito Federal,ZM del Valle de México,Venustiano Carranza,SPCT-112,-99.105688,19.417472,Sí
150,4619,Tlaxcala Estadio,Centro,Tlaxcala,ZM de Tlaxcala-Apizaco,Tlaxcala,SC-90,-98.229989,19.324699,Sí
151,4191,Lago De Guadalupe,Centro,Mexico,ZM del Valle de México,Tlalnepantla de Baz,SPCT-127,-99.211364,19.579328,Sí
152,2356,Queretaro,Bajio,Queretaro,ZM de Querétaro,Querétaro,SPCT-127,-100.397597,20.615333,Sí
153,1007,Harold Pape Monclova,Norte,Coahuila,ZM de Monclova-Frontera,Monclova,SPCT-90,-101.423985,26.908987,Sí
154,1140,Plaza San Pedro,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-112,-115.414111,32.65759,Sí
155,4026,Galerias Del Valle,Noroeste,Baja California,ZM de Mexicali,Mexicali,SPCT-112,-115.506628,32.621413,Sí
156,4062,Manzanillo,Occidente,Colima,Manzanillo,Manzanillo,SPCT-112,-104.333666,19.103518,Sí
157,2432,Durango,Norte,Durango,Victoria de Durango,Durango,SPCT-127,-104.653409,24.03652,Sí
158,1403,Chapala Ajijic,Occidente,Jalisco,San Antonio Tlayacapan,Chapala,SPCT-90,-103.244472,20.29664,Sí
